idx1 idx2 t_1 t_2 t_3 q_1 q_2 q_3 q_4
634 695 5.393684 0.110840 -0.046697 0.999083 -0.005377 -0.003142 0.042365
36 1098 -2.380770 -4.477691 0.039021 0.842776 0.000024 0.002886 -0.538257
38 1087 -3.736761 -3.988918 0.019885 0.819872 0.003847 0.009163 -0.572460
687 749 3.884163 1.627563 -0.321625 0.942525 -0.001680 0.003240 0.334117
642 732 3.228691 0.157883 -0.385492 0.993573 -0.009216 -0.006754 0.112617
35 1089 -1.779059 -4.529389 0.038612 0.858827 0.004246 0.008914 -0.512170
637 729 4.549141 0.075531 -0.321396 0.995918 -0.009399 -0.003817 0.089686
33 1079 -1.918413 -2.630932 0.051446 0.903384 -0.002319 0.009870 -0.428712
12 1072 2.935430 -0.293958 0.045528 0.999479 0.000587 -0.001657 -0.032224
18 1074 2.274864 -1.015905 0.034717 0.994670 0.002561 0.005151 -0.102948
652 746 3.840065 1.285370 -0.416145 0.956770 -0.009089 0.005107 0.290657
26 1092 3.512008 -3.737918 -0.005820 0.962177 0.005404 0.015319 -0.271940
31 1088 0.669207 -4.417210 0.051380 0.914683 0.000950 0.013670 -0.403940
26 1084 2.750050 -3.266843 0.003763 0.968486 0.005825 0.017186 -0.248408
637 693 4.093430 0.167435 -0.079745 0.998906 -0.007663 -0.004003 0.045963
642 720 2.659416 0.098831 -0.296951 0.998726 -0.006524 -0.005019 0.049788
641 693 2.811951 0.186508 -0.121744 0.998906 -0.006949 -0.004889 0.045980
1 1049 -3.863710 0.429958 0.080750 0.999421 -0.008270 -0.002976 0.032867
675 747 3.333412 1.198410 -0.369002 0.958307 -0.004951 0.004352 0.285666
675 741 2.027374 0.363235 -0.355812 0.985283 -0.002876 0.004415 0.170850
644 727 2.494034 0.065811 -0.376998 0.997238 -0.006099 -0.003690 0.073927
637 713 4.093048 0.174835 -0.118856 0.998874 -0.007434 -0.003830 0.046697
639 698 3.384277 0.182388 -0.108786 0.998851 -0.008023 -0.004854 0.047001
13 1054 -3.900043 1.003278 0.124861 0.996733 -0.000385 0.005794 -0.080553
636 714 4.494873 0.156830 -0.109274 0.998926 -0.006253 -0.003591 0.045776
634 727 5.748077 -0.001312 -0.278802 0.997266 -0.006914 -0.003121 0.073511
31 1078 -1.173362 -2.486429 0.052660 0.925951 -0.001102 0.008277 -0.377550
644 734 3.012474 0.220932 -0.402322 0.991682 -0.009079 -0.005997 0.128254
30 1081 0.089320 -3.165939 0.052723 0.937928 -0.005465 0.014068 -0.346501
37 1080 -3.840660 -2.411767 0.021669 0.849711 -0.002789 0.007898 -0.527183
3 1043 -5.569839 0.428555 0.063262 0.999196 -0.009039 -0.000608 0.039051
668 743 2.426826 0.547882 -0.385805 0.979147 -0.002441 0.007397 0.203005
638 696 3.720963 0.175186 -0.091545 0.998864 -0.008145 -0.004319 0.046759
680 749 3.876205 1.642181 -0.359144 0.942156 -0.001414 0.003081 0.335158
639 712 3.384964 0.194183 -0.137424 0.998830 -0.007946 -0.004711 0.047476
691 750 4.172104 1.913254 -0.309605 0.933510 -0.001095 0.001933 0.358543
633 699 5.890457 0.086884 -0.045745 0.999155 -0.004852 -0.002688 0.040720
3 1042 -5.793396 0.415698 0.058137 0.999112 -0.009052 -0.000622 0.041141
8 1077 5.430452 0.275904 0.099928 0.997076 -0.008186 0.005203 0.075797
645 739 3.577065 0.516602 -0.409610 0.983115 -0.009572 0.000543 0.182738
659 751 4.550362 2.311752 -0.416222 0.920662 -0.001221 -0.000178 0.390358
37 1090 -3.028861 -4.379498 0.036956 0.828719 0.003048 0.006144 -0.559623
6 1047 -4.927947 0.613642 0.100546 0.999876 -0.008152 -0.000484 0.013475
16 1056 -3.766918 1.142646 0.127008 0.991212 0.002682 0.007294 -0.132054
6 1054 -2.829780 0.576112 0.113552 0.999980 -0.004767 0.002341 -0.003395
657 752 4.953949 2.734207 -0.427719 0.907689 -0.001766 0.001376 0.419638
654 749 4.373833 1.906052 -0.434607 0.933947 -0.005187 0.003613 0.357355
16 1060 -2.380226 0.728390 0.118292 0.990610 0.004293 0.004132 -0.136587
643 745 5.126122 1.250717 -0.399265 0.959468 -0.010161 0.003164 0.281615
648 747 4.640129 1.587784 -0.424410 0.947360 -0.010781 0.004042 0.319962
668 747 3.331009 1.181870 -0.396734 0.958198 -0.004873 0.004502 0.286028
29 1065 -3.590032 0.917195 0.036425 0.898813 0.008287 -0.000403 -0.438254
30 1085 0.917008 -3.971103 0.045886 0.931525 0.000552 0.015531 -0.363346
694 750 4.177254 1.910004 -0.303399 0.933576 -0.001264 0.002025 0.358370
666 745 2.854988 0.815201 -0.389094 0.970404 -0.003099 0.005402 0.241405
679 745 2.847649 0.839249 -0.345884 0.970560 -0.003217 0.006075 0.240762
35 1078 -3.153590 -2.134093 0.026936 0.874489 0.001005 0.004658 -0.485022
637 702 4.092957 0.167862 -0.103865 0.998878 -0.007464 -0.003905 0.046607
29 1067 -3.133187 0.286402 0.030091 0.901892 0.007137 -0.002965 -0.431893
663 746 3.086975 0.994308 -0.392689 0.964713 -0.004485 0.004015 0.263236
639 697 3.383957 0.182526 -0.105968 0.998853 -0.008019 -0.004876 0.046962
21 1079 3.156029 -1.737676 0.046843 0.993482 -0.001879 0.014211 -0.113085
643 722 2.494438 0.071365 -0.331699 0.998529 -0.005549 -0.004562 0.053739
23 1079 2.500480 -2.046581 0.055953 0.987387 -0.003815 0.014081 -0.157651
20 1059 -3.494231 1.171495 0.141939 0.978140 0.009509 0.006011 -0.207645
31 1085 0.353547 -4.047894 0.049311 0.920139 0.000610 0.014953 -0.391305
20 1057 -4.146557 1.479642 0.150312 0.978574 0.008096 0.008354 -0.205566
647 746 4.585213 1.387466 -0.432082 0.954446 -0.010652 0.005159 0.298149
34 1077 -2.856003 -1.985810 0.034275 0.884951 0.001661 0.003881 -0.465665
32 1075 -2.354266 -1.652820 0.038091 0.901623 -0.001133 0.002837 -0.432513
636 720 4.586960 0.063507 -0.235339 0.998732 -0.006969 -0.004165 0.049679
26 1089 3.438424 -3.700399 -0.004254 0.962904 0.006502 0.016409 -0.269266
656 747 3.647850 1.365143 -0.407777 0.953731 -0.006920 0.003979 0.300555
